,Timestamp,Machine,Temperature,Pressure,PartLength,PartResistance
1,2022-03-08 00:00:00,1,303,100,50.56334772,4.829002068
2,2022-03-08 00:00:05,1,303,100,48.40797495,4.564788954
3,2022-03-08 00:00:10,1,303,100,49.84646265,5.500090699
4,2022-03-08 00:00:15,1,303,100,47.94984876,4.92549434
5,2022-03-08 00:00:20,1,303,100,50.02464932,4.711480366
6,2022-03-08 00:00:25,1,303,100,49.7883018,5.042075531
7,2022-03-08 00:00:30,1,303,100,50.06875982,5.118551953
8,2022-03-08 00:00:35,1,303,100,50.15440962,5.75811899
9,2022-03-08 00:00:40,1,303,100,50.10711138,5.349321271
10,2022-03-08 00:00:45,1,303,100,49.69010905,5.011840961
11,2022-03-08 00:00:50,1,303,100,48.3907283,5.381804806
12,2022-03-08 00:00:55,1,303,100,50.19132507,5.129806212
13,2022-03-08 00:01:00,1,303,100,49.71224103,4.996368467
14,2022-03-08 00:01:05,1,303,100,48.7050515,4.5446409
15,2022-03-08 00:01:10,1,303,100,49.57682092,5.093391341
16,2022-03-08 00:01:15,1,303,100,48.74485209,4.927734044
17,2022-03-08 00:01:20,1,303,100,49.1275121,4.909413618
18,2022-03-08 00:01:25,1,303,100,50.21634986,5.241716109
19,2022-03-08 00:01:30,1,303,100,51.13891324,5.006410324
20,2022-03-08 00:01:35,1,303,100,49.2929394,5.29108381
21,2022-03-08 00:01:40,1,303,100,49.33232162,4.861406136
22,2022-03-08 00:01:45,1,303,100,50.63583381,5.109676726
23,2022-03-08 00:01:50,1,303,100,49.28128921,5.023481058
24,2022-03-08 00:01:55,1,303,100,49.87732397,5.410713374
25,2022-03-08 00:02:00,1,303,100,49.68295844,5.165809938
26,2022-03-08 00:02:05,1,303,100,49.22398198,5.25334057
27,2022-03-08 00:02:10,1,303,100,48.98145032,5.40388289
28,2022-03-08 00:02:15,1,303,100,50.05591297,5.163912387
29,2022-03-08 00:02:20,1,303,100,49.73782235,4.830578099
30,2022-03-08 00:02:25,1,303,100,51.50801696,5.231903492
31,2022-03-08 00:02:30,1,303,100,49.4526472,4.739038367
32,2022-03-08 00:02:35,1,303,100,48.60242663,5.157041496
33,2022-03-08 00:02:40,1,303,100,48.12132926,4.988573375
34,2022-03-08 00:02:45,1,303,100,49.23842007,5.814852466
35,2022-03-08 00:02:50,1,303,100,49.04366559,4.912185354
36,2022-03-08 00:02:55,1,303,100,49.71951191,5.030050362
37,2022-03-08 00:03:00,1,303,100,48.47400058,4.808288939
38,2022-03-08 00:03:05,1,303,100,48.96702093,5.308818239
39,2022-03-08 00:03:10,1,303,100,50.61439829,4.643259295
40,2022-03-08 00:03:15,1,303,100,48.85472076,4.730007963
41,2022-03-08 00:03:20,1,303,100,48.6625354,5.144208259
42,2022-03-08 00:03:25,1,303,100,49.97918574,5.178186738
43,2022-03-08 00:03:30,1,303,100,47.610863,4.800514607
44,2022-03-08 00:03:35,1,303,100,50.24841666,4.762132871
45,2022-03-08 00:03:40,1,303,100,50.34655109,5.09413753
46,2022-03-08 00:03:45,1,303,100,49.92436311,4.826951776
47,2022-03-08 00:03:50,1,303,100,48.93736165,5.051923259
48,2022-03-08 00:03:55,1,303,100,50.89223685,4.869521039
49,2022-03-08 00:04:00,1,303,100,49.79515927,5.630295381
50,2022-03-08 00:04:05,1,303,100,48.77934402,5.157103309
51,2022-03-08 00:04:10,1,303,100,49.15092607,5.03881969
52,2022-03-08 00:04:15,1,303,100,49.15656353,4.945811806
53,2022-03-08 00:04:20,1,303,100,48.42237638,4.746183853
54,2022-03-08 00:04:25,1,303,100,49.56079493,5.698802039
55,2022-03-08 00:04:30,1,303,100,49.78056608,4.982380117
56,2022-03-08 00:04:35,1,303,100,50.02531353,5.302212449
57,2022-03-08 00:04:40,1,303,100,48.99092777,5.320436498
58,2022-03-08 00:04:45,1,303,100,48.26737828,5.183996581
59,2022-03-08 00:04:50,1,303,100,50.11438898,5.48112609
60,2022-03-08 00:04:55,1,303,100,49.67615758,4.771913069
61,2022-03-08 00:05:00,1,303,100,50.04522708,5.332966072
62,2022-03-08 00:05:05,1,303,100,50.24128961,4.780008336
63,2022-03-08 00:05:10,1,303,100,50.63713913,4.607584143
64,2022-03-08 00:05:15,1,303,100,49.5961514,5.204169023
65,2022-03-08 00:05:20,1,303,100,49.76603909,4.876306769
66,2022-03-08 00:05:25,1,303,100,48.58932963,4.898796201
67,2022-03-08 00:05:30,1,303,100,50.24899933,5.235565661
68,2022-03-08 00:05:35,1,303,100,51.55410679,4.973601887
69,2022-03-08 00:05:40,1,303,100,49.09056768,5.26518971
70,2022-03-08 00:05:45,1,303,100,49.1069269,4.688632154
71,2022-03-08 00:05:50,1,303,100,50.4142508,5.245080793
72,2022-03-08 00:05:55,1,303,100,50.99935738,5.471096669
73,2022-03-08 00:06:00,1,303,100,50.07387935,5.097485806
74,2022-03-08 00:06:05,1,303,100,50.76609291,5.377051369
75,2022-03-08 00:06:10,1,303,100,50.26317942,4.804276858
76,2022-03-08 00:06:15,1,303,100,50.73764835,5.417474807
77,2022-03-08 00:06:20,1,303,100,48.60110209,5.15675669
78,2022-03-08 00:06:25,1,303,100,48.98677748,4.535217025
79,2022-03-08 00:06:30,1,303,100,50.19445781,5.442371242
80,2022-03-08 00:06:35,1,303,100,49.1817919,5.287698535
81,2022-03-08 00:06:40,1,303,100,47.34492439,4.82111862
82,2022-03-08 00:06:45,1,303,100,49.34054309,5.650801406
